SZ_861	SZ_867	SZ_862	SZ_865	SZ_866	SZ_868	SZ_869	SZ_871	SZ_873	SZ_872	SZ_863	SZ_864	SZ_870
ABCC1	4.98937839156348	4.74424327680012	4.86332564676213	5.02811115190162	5.31161076921059	5.193262604132	6.07476129705066	5.11966854863174	5.11657332843765	5.40133705181813	5.02682176197057	5.02291883124049	4.68798131181045
ABCC10	3.67825651988369	3.61084932679508	3.79657299272551	4.12668922534347	4.4634692729405	4.08082194511087	4.23427814451267	4.12323353233453	3.7045036257466	4.03165119355925	3.99921088356604	4.01507711817583	3.68544236662952
ABCC11	1.0805170423345	1.19098657830136	0.849377214123198	1.37446040165338	1.21823782561559	0.900719544696087	1.5322719767773	0.602829391941948	1.54017553998087	1.51888446268803	0.841137589783707	1.1565759562996	0.925510682077946
ABCC12	0.967137358871254	1.10524687236174	0.293633430244801	2.52855993932733	2.34865322557329	0.546424866525436	0.98417237784417	1.24375226737609	0.193073754742296	1.00085866759105	0.281588197495921	0.111115773979753	2.29293702877321
ABCC2	0.769240456608999	0.897250569409151	1.39870365339313	1.23420512128649	0.932987557082272	1.08646742454692	1.46485912718235	1.24375226737609	1.39316490264798	1.27972069910128	1.33798243747881	1.96230764823763	0.810801813624045
ABCC3	0.520942258107381	0.737386863809279	0.50491687174613	1.30357534717433	0.360242287782641	0.317344901028709	0.897250569409151	0.602829391941948	1.54017553998087	1.09268675565953	0.600205580188362	0.383051838355419	0.529597200710231
ABCC4	5.42809580689761	5.75429133878651	5.85626178925946	5.54603574251773	4.91322492298124	5.43651030823353	5.90466062837354	6.35503350713057	6.36013966653919	5.86108470636248	5.75202503779826	3.91945494763948	5.3756562498089
ABCC5	6.58649373831988	6.12712808978354	6.70221170921562	6.56324608145771	6.8623616007355	6.84339461254239	6.8071619140868	6.44402492338237	6.34661745944202	6.51616371461163	6.53212706690991	6.61000726755104	6.37700932470868
ABCC6	0.785076381294655	1.15007910676588	0.841137589783707	1.14158368150177	0.679277133836985	0.76808627312619	0.813173839931632	0.448667220448249	0.974450068350171	0.590435225816822	0.622051986841023	0.711473153512379	0.769240456608999
ABCC8	5.43309515983349	4.73218577058207	5.1286224788142	5.01398144086815	6.12955551325766	5.96995646942105	6.97503897373254	5.90683923274452	5.54654034882757	5.44010607037338	5.68583931935404	5.01880838202725	5.55751175424192
ABCC9	4.31361148228815	4.89084169929456	4.76255753973674	4.89013234043598	4.39739203501602	4.15827864050864	4.28969744080226	4.62313142571468	5.34171233635852	4.62760415110174	4.72671744903618	4.3545084001864	4.34975309796766
ABCD1	2.12012907588371	1.80121370770016	1.805362707942	2.2073591264544	2.13514513087333	2.11320564098231	2.62188227867659	1.55557717711805	2.1875782872785	1.68912917384974	2.05442266407383	2.54430485373362	2.19235875450842
ABCD2	5.34171233635852	4.8688284542876	4.49294286207592	4.65827402905538	4.30071465193187	4.75462043633152	4.39937885490289	4.65936955644456	3.87911066737661	5.15263035501513	5.00897254758268	3.4158992304789	5.28713948530387
ABCD3	6.14051515168198	6.35922321501661	6.27410998993744	6.42823039816478	5.96128333505683	6.15325225551019	5.59418480878579	5.91194348465302	6.20122853688629	6.09428965372355	6.35466318678089	6.50978837582622	6.09135797189648
ABCD4	4.16329102488818	4.08064730153031	4.95078153660802	4.18694755752693	4.74568116287134	4.78711867103944	5.0063014313352	4.83066176585695	4.65609784694823	4.58737781790147	4.82156177199844	4.50569215241963	3.87898628529058
ABCE1	5.91964035334371	6.46164585864172	5.5637371550247	5.14093971290708	4.98548774677918	5.31632497140924	4.46386643786828	5.21214452661965	5.08873162518002	5.18868063878716	5.418227212507	5.45653693411904	5.40913586967262
ABCF1	4.78045884095702	4.89004594490882	4.40599501314418	4.43215166133641	4.38431759628977	4.57579676957304	4.59449304261959	4.51022233611174	4.48162972230574	4.56473407798221	4.55965854135823	4.85218539941083	4.96054156227679
ABCF2	5.05432142917366	5.28959635298907	4.75053401091552	4.42710853436608	4.61490870370116	4.66792913221326	4.2237388078246	4.47820766359763	4.56639968594968	4.59408576850641	4.68267765849639	4.6998705074381	5.04620980150955
ABCG1	3.95414004501758	4.6579701811311	5.04943535578409	5.1354998447684	5.05787637597591	4.59115863809581	5.65203243981647	4.97408143691322	4.87570721205261	4.8820913392702	4.08579465394308	5.92492468869629	5.05174414295204
ABCG2	4.34462435163219	4.48117871048184	3.81414617431304	5.16780398122012	5.75066184483271	5.53995910640089	4.54387164694738	5.47856008564202	4.72379310714742	4.53057890641908	4.57699705287916	4.85218539941083	5.58320739946205
ABCG4	3.70586924954847	3.20405755344987	2.96308218879311	3.09050156361434	3.28804963355146	3.37797382212856	3.5317305026067	3.08151424462029	2.46529808549578	3.34327129235559	2.65672814845768	2.63189621785473	3.44090844863988
ABCG5	0.361913160584704	0.351341729264475	0.255880316113528	0.256771646214119	0.259178597418935	0.193073754742296	0.369880873526194	0.448667220448249	0.259178597418935	0.293633430244801	0.00370442023671847	0.327484176031182	0.630163000420547
