Gene	ModuleColor	kWithin
333	ADAMTS20	greenyellow	2.54631097777213
334	ADAMTS3	salmon	2.87493019133426
335	ADAMTS4	greenyellow	7.2197782058948
336	ADAMTS5	darkred	2.40121848523359
337	ADAMTS6	grey60	0.994918409683662
338	ADAMTS7	lightyellow	3.63084930015764
339	ADAMTS8	lightyellow	2.91382538540088
340	ADAMTS9	grey	3.90969078923889
341	ADAMTSL1	grey	2.9804987982741
342	ADAMTSL2	grey	1.90048009389607
343	ADAMTSL3	grey	1.54958942662068
344	ADAMTSL4	lightyellow	2.66594318046017
345	ADAMTSL4-AS1	grey	6.45654464240987
346	ADAMTSL5	grey	1.10480533407225
347	ADAP1	red	5.58408351013162
348	ADAP2	turquoise	1.6924575655168
349	ADAR	grey	2.8182455627622
350	ADARB1	grey	3.59164421179162
351	ADARB2	grey	3.98306760133731
352	ADAT1	lightcyan	6.49588016332854
353	ADAT2	darkturquoise	4.28706240943923
354	ADC	grey	2.07127087732131
355	ADCK1	grey	3.70526484160559
356	ADCK2	purple	0.67311585271789
357	ADCK3	darkturquoise	3.75184227198886
358	ADCK4	darkgreen	4.11370151917458
359	ADCK5	grey	2.13920777638179
360	ADCY1	royalblue	0.840496910903989
361	ADCY10	yellow	17.6032675546937
362	ADCY2	grey	2.17443746840848
363	ADCY3	grey	3.080999565067
364	ADCY4	grey	4.80967145800972
365	ADCY5	darkred	0.492079399864265
366	ADCY6	pink	1.06862259451414
367	ADCY7	yellow	20.8874712277441
368	ADCY8	lightcyan	3.7877401564384
369	ADCY9	darkgreen	4.50060003239985
370	ADCYAP1	grey	3.90411116380255
371	ADCYAP1R1	blue	9.84734931819982
372	ADD1	lightyellow	2.71499531442817
373	ADD2	cyan	6.15927526029876
374	ADD3	red	10.7105970142336
375	ADGB	tan	14.0058838746139
376	ADH1B	midnightblue	1.29420278782717
377	ADH5	red	5.08145303902152
378	ADHFE1	blue	0.970173032645861
379	ADI1	grey	2.12641779056555
380	ADIG	yellow	3.81443352347571
381	ADIPOR1	grey	2.40312994942044
382	ADIPOR2	greenyellow	8.35643642760393
383	ADIRF	blue	4.81740259957051
384	ADK	midnightblue	2.22087000627589
385	ADM	turquoise	5.81134413523298
386	ADM5	purple	0.673152998485864
387	ADNP	yellow	18.6218489482142
388	ADNP2	yellow	7.18690227133821
389	ADO	purple	6.31772055689093
390	ADORA1	orange	2.22841768865169
391	ADORA2B	skyblue	0.766579897950741
392	ADORA3	turquoise	8.66000329352467
393	ADPGK	pink	2.38485049681109
394	ADPRH	tan	0.651036709790318
395	ADPRHL1	yellow	11.5838671463901
396	ADPRHL2	purple	2.53457256293866
397	ADPRM	green	0.689418834832323
398	ADRA1A	grey	2.6531038737724
399	ADRA1B	blue	1.00072763516192
400	ADRA1D	blue	5.9218803151095
401	ADRA2A	lightcyan	0.843924464706623
402	ADRA2B	cyan	1.36519577195814
403	ADRA2C	cyan	1.16984886785269
404	ADRB1	grey	1.77289252293792
405	ADRB2	blue	2.42991909312371
406	ADRBK1	white	8.46438949115006
407	ADRBK2	cyan	3.41866113737998
408	ADRM1	darkgrey	2.15161580737384
409	ADSL	yellow	5.58364159625409
410	ADSS	lightcyan	4.76899416850662
411	ADSSL1	cyan	1.0944986027215
412	ADTRP	grey	4.30861665333367
413	AEBP1	grey	1.01283397083978
414	AEBP2	lightgreen	4.50853057208895
415	AEN	grey	1.16689619084229
416	AES	blue	2.65591863112548
417	AF165138.7	grey	1.82717616784085
418	AFAP1	skyblue	2.04712228890853
419	AFAP1L1	grey	4.17314319587514
