Gene	ModuleColor	kWithin
666	AMIGO2	grey	3.47289479548771
667	AMMECR1	tan	5.13260216195536
668	AMMECR1L	lightcyan	6.42559641034422
669	AMN	grey	2.69855687939944
670	AMN1	lightcyan	4.29861293792235
671	AMOT	grey	4.44069239963511
672	AMOTL1	grey	9.03272482397355
673	AMOTL2	brown	19.5386729456318
674	AMPD2	green	10.884094913567
675	AMPD3	turquoise	7.52682623527191
676	AMPH	lightyellow	2.14129757186315
677	AMT	grey	2.89526101986264
678	AMY2A	greenyellow	6.92408630826993
679	AMY2B	black	0.848483758071035
680	AMZ1	darkred	1.12108317169495
681	AMZ2	grey	2.54280962575831
682	ANAPC1	yellow	1.43846970309017
683	ANAPC10	pink	1.09929537950176
684	ANAPC11	yellow	10.1451227509938
685	ANAPC13	turquoise	3.21879137600492
686	ANAPC15	turquoise	5.61417821157263
687	ANAPC16	purple	1.59333331991483
688	ANAPC2	purple	4.15962934451869
689	ANAPC4	grey	4.08387491590639
690	ANAPC5	brown	9.73859423782016
691	ANAPC7	red	3.56279245337805
692	ANGEL1	purple	3.47582931974639
693	ANGEL2	magenta	1.16009229189512
694	ANGPT1	darkgreen	2.82728700330281
695	ANGPT2	yellow	4.35601062869427
696	ANGPT4	blue	3.9021111630593
697	ANGPTL1	darkgreen	1.66193276535597
698	ANGPTL2	midnightblue	1.46571186425209
699	ANGPTL4	grey	7.6442825779664
700	ANGPTL5	yellow	6.73001878464887
701	ANGPTL6	yellow	0.97925689190139
702	ANGPTL7	darkorange	0.839593148340293
